Data,T1,T2,T3,T4,F1,F2,Amostra
26/10/2022 16:54:35985200,310.8236,302.5032,301.9664,296.94,178.318675,1089,acq500
26/10/2022 16:54:36969200,310.8724,302.3568,301.9664,296.8424,178.318675,1089,acq500
26/10/2022 16:54:37967600,310.8724,302.3324,301.942,296.94,173.690075,1087,acq500
26/10/2022 16:54:38981600,310.7748,302.2836,301.942,296.8424,175.541515,1089,acq500
26/10/2022 16:54:39964400,310.7016,302.3324,301.9664,296.94,173.690075,1087,acq500
26/10/2022 16:54:40978400,310.7504,302.5276,301.9908,296.94,173.690075,1087,acq500
26/10/2022 16:54:41976800,310.726,302.6496,301.9664,296.94,175.541515,1087,acq500
26/10/2022 16:54:42975200,310.848,302.4056,301.9664,296.9156,173.690075,1088,acq500
26/10/2022 16:54:43973600,310.8236,302.4056,301.9664,296.8424,175.541515,1087,acq500
26/10/2022 16:54:44972000,310.726,302.4056,301.9664,296.8424,173.690075,1088,acq500
26/10/2022 16:54:45970400,310.7504,302.4544,301.9664,296.94,175.541515,1088,acq500
26/10/2022 16:54:46969800,310.6528,302.3568,301.942,296.9156,175.541515,1088,acq500
26/10/2022 16:54:47968200,310.7016,302.2836,302.0152,296.8912,175.541515,1089,acq500
26/10/2022 16:54:48966600,310.726,302.4056,301.9908,296.9156,176.467235,1089,acq500
26/10/2022 16:54:49980600,310.848,302.3568,301.8688,296.94,173.690075,1089,acq500
26/10/2022 16:54:50979000,310.8236,302.2836,301.8444,296.94,175.541515,1091,acq500
26/10/2022 16:54:51977400,310.7748,302.2836,301.942,296.94,175.541515,1089,acq500
26/10/2022 16:54:52975800,310.726,302.1616,301.8444,296.9156,175.541515,1091,acq500
26/10/2022 16:54:53974200,310.7504,302.3324,301.8932,296.94,177.392955,1091,acq500
26/10/2022 16:54:54972600,310.726,302.3812,301.9664,296.8424,171.838635,1088,acq500
26/10/2022 16:54:55971000,310.726,302.3324,301.9664,296.94,173.690075,1087,acq500
26/10/2022 16:54:56969400,310.848,302.2348,301.9664,296.8912,170.912915,1083,acq500
26/10/2022 16:54:57967800,310.848,302.3324,301.9664,296.9156,175.541515,1086,acq500
26/10/2022 16:54:58966200,310.726,302.3324,301.9664,296.9156,171.838635,1086,acq500
26/10/2022 16:54:59981200,310.848,302.3324,301.8688,296.7936,175.541515,1088,acq500
26/10/2022 16:55:00964000,310.848,302.3812,301.8444,296.8424,176.467235,1088,acq500
26/10/2022 16:55:01978000,310.8236,302.3568,301.8444,296.9156,176.467235,1088,acq500
26/10/2022 16:55:02976400,310.7504,302.3568,301.8444,296.94,176.467235,1091,acq500
26/10/2022 16:55:03974800,310.726,302.3568,301.9664,296.94,176.467235,1091,acq500
26/10/2022 16:55:09965200,310.7016,301.7956,302.2348,296.8424,236.639035,1088,acq500
26/10/2022 16:55:10979200,310.848,301.7956,302.4788,296.818,238.490475,1087,acq500
26/10/2022 16:55:11977600,310.848,301.8688,302.6008,296.8912,241.267635,1088,acq500
26/10/2022 16:55:12976000,310.8236,301.9176,302.6984,296.818,240.341915,1089,acq500
26/10/2022 16:55:18966400,310.848,302.3324,302.918,296.94,247.747675,1089,acq500
26/10/2022 16:55:24972400,310.8236,302.6496,303.0156,296.8912,247.747675,1087,acq500
26/10/2022 16:55:25986400,310.8236,302.6984,303.04,296.9156,247.747675,1087,acq500
26/10/2022 16:55:31976800,310.8724,302.5032,303.04,296.818,250.524835,1081,acq500
26/10/2022 16:55:32990800,310.848,302.3568,303.04,296.9156,251.450555,1086,acq500
26/10/2022 16:55:33989200,310.848,302.6496,303.0156,296.9156,249.599115,1086,acq500
