Data,T1,T2,T3,T4,F1,F2,Amostra
26/10/2022 16:53:35874400,310.8724,302.3324,301.9664,296.94,448.691515,1360.15,acq500
26/10/2022 16:53:36872800,310.8724,302.2836,301.9908,296.8424,446.840075,1360.15,acq500
26/10/2022 16:53:37886800,310.8236,302.3324,301.9664,296.8424,449.617235,1362.15,acq500
26/10/2022 16:53:38885200,310.848,302.2836,301.9664,296.94,450.542955,1365.15,acq500
26/10/2022 16:53:39883600,310.8724,302.4056,301.9908,296.8424,445.914355,1364.15,acq500
26/10/2022 16:53:40882000,310.8236,302.5276,301.9908,296.818,448.691515,1364.15,acq500
26/10/2022 16:53:41880400,310.8724,302.6252,301.9664,296.94,446.840075,1364.15,acq500
26/10/2022 16:53:42878800,310.848,302.5276,301.942,296.8424,446.840075,1366.15,acq500
26/10/2022 16:53:43877200,310.8724,302.3568,301.9664,296.9156,449.617235,1364.15,acq500
26/10/2022 16:53:44875600,310.848,302.3812,301.9664,296.94,448.691515,1360.15,acq500
26/10/2022 16:53:45874000,310.7504,302.3324,301.8444,296.94,450.542955,1359.15,acq500
26/10/2022 16:53:46872400,310.848,302.2104,301.9664,296.9156,449.617235,1359.15,acq500
26/10/2022 16:53:47870800,310.848,302.3568,301.9664,296.8424,449.617235,1357.15,acq500
26/10/2022 16:53:48869200,310.8236,302.5276,301.9664,296.8424,448.691515,1357.15,acq500
26/10/2022 16:53:49883200,310.848,302.5276,301.9664,296.9156,446.840075,1356.15,acq500
26/10/2022 16:53:50866000,310.8724,302.2348,301.8444,296.9644,446.840075,1356.15,acq500
26/10/2022 16:53:51880000,310.848,302.2836,301.8444,296.9156,446.840075,1359.15,acq500
26/10/2022 16:53:53174800,310.848,302.3568,301.9664,296.94,446.840075,1357.15,acq500
26/10/2022 16:53:53876800,310.8968,302.3568,301.9664,296.94,448.691515,1360.15,acq500
26/10/2022 16:53:54890800,310.8968,302.3324,301.9664,296.94,448.691515,1364.15,acq500
26/10/2022 16:53:55889200,310.8236,302.3568,301.9908,296.9156,449.617235,1365.15,acq500
26/10/2022 16:53:56903200,310.848,302.3324,301.942,296.94,448.691515,1365.15,acq500
26/10/2022 16:53:57906600,310.8236,302.2348,301.9664,296.8424,445.914355,1366.15,acq500
26/10/2022 16:53:58951800,310.8968,302.1616,301.9664,296.818,448.691515,1364.15,acq500
26/10/2022 16:53:59939400,310.848,302.3568,301.9664,296.8424,446.840075,1360.15,acq500
26/10/2022 16:54:00895400,310.848,302.3568,301.9664,296.94,446.840075,1362.15,acq500
26/10/2022 16:54:01879400,310.8724,302.3568,301.9664,296.94,449.617235,1361.15,acq500
26/10/2022 16:54:02893400,310.8724,302.3568,301.9664,296.94,449.617235,1357.15,acq500
26/10/2022 16:54:03928400,310.8724,302.4056,301.942,296.94,446.840075,1360.15,acq500
26/10/2022 16:54:04925400,310.8968,302.5276,301.9664,296.9156,450.542955,1361.15,acq500
26/10/2022 16:54:06212600,310.8968,302.4056,301.9664,296.9156,448.691515,1362.15,acq500
