Data,T1,T2,T3,T4,F1,F2,Amostra
27/10/2022 20:18:11317000,38.991200000,32.086000000,35.355600000,22.496800000,221.827515000,351.000000000,1000V9
27/10/2022 20:18:12299800,38.991200000,32.281200000,35.355600000,22.521200000,219.050355000,350.000000000,1000V9
27/10/2022 20:18:13313800,38.991200000,32.427600000,35.331200000,22.618800000,219.976075000,347.000000000,1000V9
27/10/2022 20:18:14312200,38.991200000,32.403200000,35.428800000,22.521200000,221.827515000,347.000000000,1000V9
27/10/2022 20:18:15326200,38.991200000,32.427600000,35.404400000,22.521200000,219.050355000,351.000000000,1000V9
27/10/2022 20:18:16309000,38.991200000,32.574000000,35.404400000,22.521200000,214.421755000,350.000000000,1000V9
27/10/2022 20:18:17307400,38.918000000,32.525200000,35.355600000,22.521200000,215.347475000,349.000000000,1000V9
27/10/2022 20:18:18321400,38.918000000,32.427600000,35.404400000,22.521200000,215.347475000,349.000000000,1000V9
27/10/2022 20:18:19319800,38.991200000,32.232400000,35.404400000,22.594400000,215.347475000,349.000000000,1000V9
27/10/2022 20:18:20333800,38.991200000,32.281200000,35.477600000,22.618800000,218.124635000,349.000000000,1000V9
27/10/2022 20:18:21316600,39.015600000,32.281200000,35.477600000,22.496800000,219.050355000,347.000000000,1000V9
27/10/2022 20:18:22315000,39.040000000,32.403200000,35.453200000,22.521200000,219.050355000,347.000000000,1000V9
27/10/2022 20:18:23313400,39.015600000,32.574000000,35.526400000,22.496800000,221.827515000,349.000000000,1000V9
27/10/2022 20:18:24311800,38.991200000,32.403200000,35.453200000,22.521200000,219.976075000,349.000000000,1000V9
27/10/2022 20:18:25341400,38.991200000,32.427600000,35.404400000,22.521200000,219.050355000,347.000000000,1000V9
27/10/2022 20:18:26308600,39.040000000,32.305600000,35.404400000,22.618800000,219.976075000,349.000000000,1000V9
27/10/2022 20:18:27307000,39.015600000,32.208000000,35.404400000,22.521200000,219.976075000,350.000000000,1000V9
27/10/2022 20:18:28321000,38.991200000,32.086000000,35.355600000,22.521200000,218.124635000,349.000000000,1000V9
27/10/2022 20:18:29303800,38.991200000,32.208000000,35.477600000,22.521200000,218.124635000,347.000000000,1000V9
27/10/2022 20:18:30317800,38.991200000,32.305600000,35.477600000,22.496800000,217.198915000,346.000000000,1000V9
27/10/2022 20:18:36308200,38.991200000,32.427600000,35.550800000,22.594400000,227.381835000,340.000000000,1000V9
27/10/2022 20:18:37322200,38.918000000,32.525200000,35.550800000,22.643200000,226.456115000,337.000000000,1000V9
27/10/2022 20:18:38336200,38.991200000,32.549600000,35.550800000,22.594400000,226.456115000,339.000000000,1000V9
27/10/2022 20:18:39319000,38.991200000,32.622800000,35.477600000,22.594400000,223.678955000,339.000000000,1000V9
27/10/2022 20:18:40333000,39.015600000,32.622800000,35.550800000,22.594400000,223.678955000,339.000000000,1000V9
27/10/2022 20:18:41331400,38.991200000,32.452000000,35.599600000,22.618800000,224.604675000,336.000000000,1000V9
27/10/2022 20:18:42314200,38.991200000,32.427600000,35.648400000,22.594400000,223.678955000,335.000000000,1000V9
27/10/2022 20:18:43328200,39.015600000,32.427600000,35.672800000,22.594400000,224.604675000,335.000000000,1000V9
27/10/2022 20:18:44311000,38.918000000,32.525200000,35.648400000,22.521200000,226.456115000,337.000000000,1000V9
27/10/2022 20:18:45325000,38.991200000,32.574000000,35.599600000,22.521200000,223.678955000,336.000000000,1000V9
27/10/2022 20:18:46323400,38.991200000,32.622800000,35.599600000,22.496800000,223.678955000,337.000000000,1000V9
27/10/2022 20:18:47337400,38.869200000,32.574000000,35.672800000,22.570000000,224.604675000,337.000000000,1000V9
27/10/2022 20:18:48335800,38.991200000,32.549600000,35.672800000,22.496800000,224.604675000,335.000000000,1000V9
27/10/2022 20:18:49334200,38.991200000,32.549600000,35.648400000,22.521200000,226.456115000,334.000000000,1000V9
27/10/2022 20:18:50332600,38.991200000,32.622800000,35.672800000,22.521200000,228.307555000,335.000000000,1000V9
27/10/2022 20:18:51331000,38.991200000,32.622800000,35.672800000,22.496800000,227.381835000,334.000000000,1000V9
27/10/2022 20:18:52345000,38.991200000,32.622800000,35.672800000,22.448000000,226.456115000,335.000000000,1000V9
27/10/2022 20:18:53296600,38.991200000,32.647200000,35.672800000,22.570000000,226.456115000,335.000000000,1000V9
27/10/2022 20:18:54357400,38.966800000,32.769200000,35.672800000,22.618800000,226.456115000,335.000000000,1000V9
27/10/2022 20:18:55309000,38.893600000,32.769200000,35.672800000,22.643200000,226.456115000,335.000000000,1000V9
27/10/2022 20:18:56338600,38.991200000,32.622800000,35.672800000,22.496800000,224.604675000,336.000000000,1000V9
27/10/2022 20:19:02375800,38.966800000,32.866800000,35.697200000,22.496800000,229.233275000,337.000000000,1000V9
27/10/2022 20:19:03405400,38.991200000,32.793600000,35.697200000,22.570000000,228.307555000,336.000000000,1000V9
27/10/2022 20:19:04544200,38.991200000,32.769200000,35.697200000,22.570000000,228.307555000,335.000000000,1000V9
27/10/2022 20:19:05511400,38.966800000,32.769200000,35.697200000,22.570000000,232.010435000,335.000000000,1000V9
27/10/2022 20:19:06369400,38.991200000,32.744800000,35.721600000,22.594400000,232.010435000,336.000000000,1000V9
27/10/2022 20:19:07399000,38.991200000,32.915600000,35.697200000,22.618800000,232.010435000,340.000000000,1000V9
27/10/2022 20:19:08413000,38.918000000,32.940000000,35.672800000,22.618800000,231.084715000,339.000000000,1000V9
27/10/2022 20:19:09411400,39.015600000,32.769200000,35.697200000,22.594400000,228.307555000,336.000000000,1000V9
27/10/2022 20:19:10394200,39.015600000,32.622800000,35.697200000,22.618800000,232.010435000,336.000000000,1000V9
27/10/2022 20:19:11392600,38.966800000,32.622800000,35.697200000,22.618800000,229.233275000,336.000000000,1000V9
